TypeOverlay,AttributeOverlay,Art,Text,Name,Id,Rank,Life,Power,Attribute,Type,Hand,Cost
%PROJECT%/Unit.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.001.png,,Commoner,ALP.NAT.001,,,1,Non-attribute,Unit,,1
%PROJECT%/Unit.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.002.png,<b>Swarm:</b> <i>This unit is not destroyed upon taking damage.</i>,Townsfolk,ALP.NAT.002,,,2,Non-attribute,Unit,,2
%PROJECT%/Unit.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.003.png,<b>Swarm:</b> <i>This unit is not destroyed upon taking damage.</i>,Militia ,ALP.NAT.003,,,4,Non-attribute,Unit,,3
%PROJECT%/Fortification.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.004.png,,Keep,ALP.NAT.004,,10,,Non-attribute,Fortification,,
%PROJECT%/Fortification.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.005.png,"<b>Scout:</b> <i>Whenever an opponent places a reinforcement in this lane, reveal it.</i>",Watchtower,ALP.NAT.005,,7,,Non-attribute,Fortification,,
%PROJECT%/Order.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.006.png,All cards deployed this turn gain +1 {p} until the end of the turn.,Battle Cry,ALP.NAT.006,{r} ,,,Non-attribute,Order,,2
%PROJECT%/Order.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.007.png,Draw a card.,Recycle,ALP.NAT.007,{r} {r} ,,,Non-attribute,Order,,0
%PROJECT%/Order.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.008.png,Place a Ruins card at the bottom of any allied fortification stack.  You may use this card to place a Ruins in an empty fortification stack.,In Ruins,ALP.NAT.008,{r} ,,,Non-attribute,Order,,0
%PROJECT%/Order.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.009.png,Target leader regains +2 {l}.,Well Rested ,ALP.NAT.009,{r} ,,,Non-attribute,Order,,0
%PROJECT%/Order.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.010.png,Target unit gains +2 {p} until the end of this turn.,Fury for the Fallen,ALP.NAT.010,{r} ,,,Non-attribute,Order,,1
%PROJECT%/Order.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.011.png,"Whenever target fortification takes damage this turn, it takes 1 additional damage.",Attack Order,ALP.NAT.011,{r} ,,,Non-attribute,Order,,1
%PROJECT%/Order.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.012.png,Reveal target reinforcement.,Identification ,ALP.NAT.012,{r} ,,,Non-attribute,Order,,0
%PROJECT%/Reinforcement.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.013.png,This fortification regains +3 {l}.,Brick and Mortar ,ALP.NAT.013,{r} ,,,Non-attribute,Reinforcement,,
%PROJECT%/Reinforcement.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.014.png,"This fortification regains +1 {l}, and the next time it would take damage this turn, prevent 3 damage.",Expansion Plan ,ALP.NAT.014,{r} ,,,Non-attribute,Reinforcement,,
%PROJECT%/Reinforcement.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.015.png,"Whenever this fortification would take damage this turn, prevent it unless your opponent discards 1 card.",Starvation ,ALP.NAT.015,{r} ,,,Non-attribute,Reinforcement,,
%PROJECT%/Reinforcement.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.016.png,"Return the first unit that arrives at this fortification to its recruitment rail; that unit cannot be redeployed this turn. If multiple units arrive at the same time, your opponent may choose which unit to return.",Dishonorable Discharge ,ALP.NAT.016,{r} ,,,Non-attribute,Reinforcement,,
%PROJECT%/Reinforcement.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.017.png,Cards that attack this fortification this turn have -2 {p}.,Prepared Defensive ,ALP.NAT.017,{r} ,,,Non-attribute,Reinforcement,,
%PROJECT%/Response.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.018.png,"<b>Trigger:</b> Your opponent draws a card as the result of an order.
<b>Response:</b> Draw a card.",Eye for an Eye,ALP.NAT.018,{r} ,,,Non-attribute,Response,,0
%PROJECT%/Response.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.019.png,"<b>Trigger:</b> A leader takes damage from any source.  
<b>Response:</b> That leader regains +1 {l}. ",Rapid Response,ALP.NAT.019,{r} ,,,Non-attribute,Response,,0
%PROJECT%/Response.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.020.png,"<b>Trigger:</b> A card is deployed.
<b>Response:</b> That card is deployed to their recruitment rail's other lane. ",Road Less Traveled ,ALP.NAT.020,{r} ,,,Non-attribute,Response,,0
%PROJECT%/Order.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.021.png,Draw 2 cards.,Upcycle,ALP.NAT.021,{r} {r} {r} ,,,Non-attribute,Order,,0
%PROJECT%/Order.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.022.png,Disable target reinforcement until the end of your turn.,Disarm,ALP.NAT.022,{r} {r} ,,,Non-attribute,Order,,0
%PROJECT%/Order.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.023.png,Target leader gains +1 {h} until end of your next turn.,I want you!,ALP.NAT.023,{r} {r} ,,,Non-attribute,Order,,0
%PROJECT%/Order.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.024.png,"If target card completes a successful attack this turn, deploy another unit to the same fortification.",With Advantage! ,ALP.NAT.024,{r} {r} ,,,Non-attribute,Order,,1
%PROJECT%/Order.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.025.png,"If target card completes a successful attack this turn, recruit them to the same lane at the end of this turn. ",Repeat Offender ,ALP.NAT.025,{r} {r} ,,,Non-attribute,Order,,2
%PROJECT%/Reinforcement.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.026.png,This fortification cannot be reduced below 1 {l} this turn.,Indestructible,ALP.NAT.026,{r} {r} ,,,Non-attribute,Reinforcement,,
%PROJECT%/Reinforcement.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.027.png,"Deal 1 damage to the first card that arrives at this fortification.  If multiple units arrive at the same time, your opponent may choose which card takes the damage.",Caltrops,ALP.NAT.027,{r} {r} ,,,Non-attribute,Reinforcement,,
%PROJECT%/Reinforcement.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.028.png,"When this fortification is attacked, you may choose to destroy a unit from an allied recruitment rail and prevent damage equal to that unit's {p}. ",Meat Shield,ALP.NAT.028,{r} {r} ,,,Non-attribute,Reinforcement,,
%PROJECT%/Response.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.029.png,"<b>Trigger:</b> A leader deploys one or more units.
<b>Response:</b> That leader cannot deploy or redeploy any additional units this turn.",Difficult Terrain,ALP.NAT.029,{r} {r} ,,,Non-attribute,Response,,1
%PROJECT%/Response.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.030.png,"<b>Trigger:</b> A player discards one or more times to pay the {c} of a card.
<b>Response:</b> That player must discard an additional card (if possible).",The Cost of War ,ALP.NAT.030,{r} {r} ,,,Non-attribute,Response,,0
%PROJECT%/Order.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.031.png,All cards recruited this turn gain -1 {c}.,Referral Bonus,ALP.NAT.031,{r} {r} {r} ,,,Non-attribute,Order,,1
%PROJECT%/Order.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.032.png,Destroy target reinforcement.,Seek and Destroy ,ALP.NAT.032,{r} {r} {r} ,,,Non-attribute,Order,,1
%PROJECT%/Reinforcement.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.033.png,"If this fortification is destroyed, you may choose to discard a card to recreate it with full {l}. ",Another Castle,ALP.NAT.033,{r} {r} {r} ,,,Non-attribute,Reinforcement,,
%PROJECT%/Response.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.034.png,"<b>Trigger:</b> A player recruits one or more units.
<b>Response:</b> That player cannot recruit any additional units this turn.",Peace Offering ,ALP.NAT.034,{r} {r} {r} ,,,Non-attribute,Response,,1
%PROJECT%/Fortification.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.035.png,<b>Defenseless:</b> <i>This fortification cannot be targeted for attacks. Any leader or unit that shares a lane with this fortification can be targeted for attacks.</i>,Ruins,ALP.NAT.035,,0,,Non-attribute,Fortification,,
%PROJECT%/Response.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.036.png,"<b>Trigger:</b> An <b>Equip</b> order is played.
<b>Response:</b> Destroy the <b>Equip</b> order.",Rust Monster,ALP.NAT.036,{r} ,,,Non-attribute,Response,,1
%PROJECT%/Order.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.037.png,Destroy all <b>Equip</b> orders currently in play.,Bareknuckle Brawlers,ALP.NAT.037,{r} {r} ,,,Non-attribute,Order,,0
%PROJECT%/Reinforcement.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.038.png,"When a card with an <b>Equip</b> order arrives at this fortification, you may discard a card. If you do, destroy all <b>Equip</b> orders attached to that card.",Boots at the Door,ALP.NAT.038,{r} {r} ,,,Non-attribute,Reinforcement,,
%PROJECT%/Order.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.039.png,"Draw a card, then discard a card.",Cycle,ALP.NAT.039,{r} ,,,Non-attribute,Order,,0
%PROJECT%/Fortification.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.040.png,Allied leaders in reserve that share a lane with this fortification cannot be targeted by the effects of your opponent's orders. ,Warding Tower,ALP.NAT.040,,7,,Non-attribute,Fortification,,
%PROJECT%/Order.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.NAT.041.png,Switch the position of two allied leaders in reserve.  <i>(Recruited units are not affected by a change in leader position.)</i>,Castle the King,ALP.NAT.041,{r} ,,,Non-attribute,Order,,0
%PROJECT%/Leader.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.GEN.001.png,"Whenever a non-attribute card controlled by you or an ally attacks, it gains +1 {p} until the end of the turn.","Ibn Rasa, Master of None",ALP.GEN.001,,10,2,Non-attribute,Generalist Leader,3,2
%PROJECT%/Order.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.GEN.002.png,"<b>Once per Turn Order (0 {c}):</b> Parent card gains any attribute or class name you choose until the end of the turn.
<b>Equip:</b> <i>Attach this card to another card. It remains attached until the parent card is destroyed.</i>",Simple Robe,ALP.GEN.002,{r} {r} {r} ,,,Non-attribute,Generalist Order,,2
%PROJECT%/Order.png,%PROJECT%/Non-attribute.png,%PROJECT%/ALP.GEN.003.png,Cards recruited this turn may be recruited to any recruitment rail in any allied lane.,Jack of All ,ALP.GEN.003,{r} {r} ,,,Non-attribute,Generalist Order,,0
